;п Алейский;с Малахово;п Мамонтовский;п Октябрьский;п Первомайский;с Безголосово;с Большепанюшево;ст Железнодорожная Казарма 347 км;с Новоколпаково;п Успеновка
п Алейский;0.0;7.246680866924413;16.406900285678883;14.583143189086268;7.06976571233144;16.698694571258685;10.737067868853718;9.428313781326986;20.023779144089144;12.258198099179406
с Малахово;7.246680866924413;0.0;9.774002245469262;7.345796928282413;12.232274729669559;18.80998478285552;14.328646182064192;13.75189390271551;23.382044240104804;15.507663254216881
п Мамонтовский;16.406900285678883;9.774002245469262;0.0;4.656990584202447;18.895903142073088;27.656150697100866;23.892191765118884;23.459256062748018;32.605054265699906;24.940625848663938
п Октябрьский;14.583143189086268;7.345796928282413;4.656990584202447;0.0;18.730852438259603;23.540039531813242;20.355192072918474;20.16884794057298;28.65439092065938;21.244972793508804
п Первомайский;7.06976571233144;12.232274729669559;18.895903142073088;18.730852438259603;0.0;22.9672868116354;16.711073801657733;15.112521687864211;25.439098886139686;18.2678768538427
с Безголосово;16.698694571258685;18.80998478285552;27.656150697100866;23.540039531813242;22.9672868116354;0.0;6.292545422668169;7.984045405500965;5.414396611810281;4.765472278697748
с Большепанюшево;10.737067868853718;14.328646182064192;23.892191765118884;20.355192072918474;16.711073801657733;6.292545422668169;0.0;1.7344847816958122;9.367384410901142;1.558481820259755
ст Железнодорожная Казарма 347 км;9.428313781326986;13.75189390271551;23.459256062748018;20.16884794057298;15.112521687864211;7.984045405500965;1.7344847816958122;0.0;10.60321606687393;3.2186165168937118
с Новоколпаково;20.023779144089144;23.382044240104804;32.605054265699906;28.65439092065938;25.439098886139686;5.414396611810281;9.367384410901142;10.60321606687393;0.0;7.965493567253612
п Успеновка;12.258198099179406;15.507663254216881;24.940625848663938;21.244972793508804;18.2678768538427;4.765472278697748;1.558481820259755;3.2186165168937118;7.965493567253612;0.0
